# co2a0000365.rd
# 120 trials, 64 chans, 416 samples 368 post_stim samples
# 3.906000 msecs uV
# S2 nomatch, trial 87
# FP1 chan 0
87 FP1 0 -3.510
87 FP1 1 -1.068
87 FP1 2 3.326
87 FP1 3 6.256
87 FP1 4 6.744
87 FP1 5 4.303
87 FP1 6 1.862
87 FP1 7 -0.092
87 FP1 8 -0.580
87 FP1 9 -0.092
87 FP1 10 -0.580
87 FP1 11 -2.045
87 FP1 12 -2.533
87 FP1 13 -3.021
87 FP1 14 -2.533
87 FP1 15 -3.021
87 FP1 16 -4.486
87 FP1 17 -7.416
87 FP1 18 -9.857
87 FP1 19 -10.834
87 FP1 20 -10.834
87 FP1 21 -10.345
87 FP1 22 -8.881
87 FP1 23 -5.951
87 FP1 24 -1.068
87 FP1 25 5.768
87 FP1 26 10.651
87 FP1 27 12.604
87 FP1 28 11.139
87 FP1 29 7.721
87 FP1 30 5.280
87 FP1 31 4.303
87 FP1 32 3.815
87 FP1 33 2.350
87 FP1 34 0.397
87 FP1 35 0.397
87 FP1 36 1.862
87 FP1 37 3.326
87 FP1 38 2.838
87 FP1 39 -1.068
87 FP1 40 -4.974
87 FP1 41 -4.974
87 FP1 42 -0.580
87 FP1 43 5.280
87 FP1 44 8.209
87 FP1 45 6.256
87 FP1 46 1.862
87 FP1 47 0.397
87 FP1 48 4.303
87 FP1 49 11.139
87 FP1 50 16.022
87 FP1 51 13.580
87 FP1 52 5.280
87 FP1 53 -3.998
87 FP1 54 -8.392
87 FP1 55 -5.951
87 FP1 56 1.373
87 FP1 57 8.698
87 FP1 58 12.115
87 FP1 59 10.162
87 FP1 60 5.768
87 FP1 61 3.326
87 FP1 62 3.326
87 FP1 63 6.256
87 FP1 64 8.209
87 FP1 65 7.721
87 FP1 66 4.791
87 FP1 67 2.838
87 FP1 68 2.350
87 FP1 69 4.303
87 FP1 70 6.256
87 FP1 71 5.768
87 FP1 72 4.791
87 FP1 73 3.815
87 FP1 74 5.280
87 FP1 75 8.209
87 FP1 76 10.651
87 FP1 77 8.698
87 FP1 78 4.303
87 FP1 79 -1.068
87 FP1 80 -2.533
87 FP1 81 0.885
87 FP1 82 7.721
87 FP1 83 12.604
87 FP1 84 13.580
87 FP1 85 10.651
87 FP1 86 5.768
87 FP1 87 2.838
87 FP1 88 1.862
87 FP1 89 2.838
87 FP1 90 3.815
87 FP1 91 4.791
87 FP1 92 4.791
87 FP1 93 5.280
87 FP1 94 5.280
87 FP1 95 4.303
87 FP1 96 1.862
87 FP1 97 -0.092
87 FP1 98 -0.092
87 FP1 99 3.326
87 FP1 100 7.233
87 FP1 101 9.186
87 FP1 102 7.721
87 FP1 103 3.815
87 FP1 104 -1.068
87 FP1 105 -4.974
87 FP1 106 -6.439
87 FP1 107 -6.439
87 FP1 108 -5.951
87 FP1 109 -5.463
87 FP1 110 -4.486
87 FP1 111 -3.510
87 FP1 112 -3.510
87 FP1 113 -4.974
