# co2c0000341.rd
# 120 trials, 64 chans, 416 samples 368 post_stim samples
# 3.906000 msecs uV
# S2 nomatch, trial 39
# FP1 chan 0
39 FP1 0 3.601
39 FP1 1 1.648
39 FP1 2 1.160
39 FP1 3 3.113
39 FP1 4 6.531
39 FP1 5 9.460
39 FP1 6 10.925
39 FP1 7 9.460
39 FP1 8 6.042
39 FP1 9 2.136
39 FP1 10 -0.793
39 FP1 11 -1.770
39 FP1 12 -1.282
39 FP1 13 0.183
39 FP1 14 1.648
39 FP1 15 2.136
39 FP1 16 2.625
39 FP1 17 2.136
39 FP1 18 0.671
39 FP1 19 -2.258
39 FP1 20 -5.676
39 FP1 21 -6.653
39 FP1 22 -4.700
39 FP1 23 -0.305
39 FP1 24 4.089
39 FP1 25 5.066
39 FP1 26 2.625
39 FP1 27 -2.258
39 FP1 28 -5.676
39 FP1 29 -6.165
39 FP1 30 -3.723
39 FP1 31 -0.793
39 FP1 32 0.183
39 FP1 33 -0.793
39 FP1 34 -2.747
39 FP1 35 -5.676
39 FP1 36 -7.141
39 FP1 37 -7.629
39 FP1 38 -7.141
39 FP1 39 -6.653
39 FP1 40 -5.676
39 FP1 41 -4.700
39 FP1 42 -4.211
39 FP1 43 -4.211
39 FP1 44 -5.676
39 FP1 45 -7.629
39 FP1 46 -7.629
39 FP1 47 -6.653
39 FP1 48 -4.700
39 FP1 49 -2.258
39 FP1 50 -0.793
39 FP1 51 0.671
39 FP1 52 0.671
39 FP1 53 -0.305
39 FP1 54 -1.770
39 FP1 55 -3.723
39 FP1 56 -4.700
39 FP1 57 -3.723
39 FP1 58 -1.282
39 FP1 59 1.648
39 FP1 60 3.601
39 FP1 61 3.601
39 FP1 62 1.648
39 FP1 63 -1.770
39 FP1 64 -5.188
39 FP1 65 -8.118
39 FP1 66 -10.071
39 FP1 67 -10.071
39 FP1 68 -8.606
39 FP1 69 -6.653
39 FP1 70 -6.165
39 FP1 71 -6.165
39 FP1 72 -6.653
39 FP1 73 -7.629
39 FP1 74 -7.629
39 FP1 75 -6.653
39 FP1 76 -5.188
39 FP1 77 -3.723
39 FP1 78 -3.235
39 FP1 79 -4.211
39 FP1 80 -6.165
39 FP1 81 -9.094
39 FP1 82 -11.536
39 FP1 83 -13.000
39 FP1 84 -12.024
39 FP1 85 -10.559
39 FP1 86 -8.606
39 FP1 87 -7.141
39 FP1 88 -6.653
39 FP1 89 -6.165
39 FP1 90 -5.188
39 FP1 91 -3.723
39 FP1 92 -3.235
39 FP1 93 -4.211
39 FP1 94 -6.653
39 FP1 95 -8.606
39 FP1 96 -9.583
39 FP1 97 -7.629
39 FP1 98 -4.700
39 FP1 99 -2.747
39 FP1 100 -3.235
39 FP1 101 -6.165
39 FP1 102 -9.583
39 FP1 103 -11.536
39 FP1 104 -11.536
39 FP1 105 -9.094
39 FP1 106 -6.653
39 FP1 107 -4.211
39 FP1 108 -3.235
39 FP1 109 -2.747
39 FP1 110 -2.747
39 FP1 111 -3.235
39 FP1 112 -3.723
39 FP1 113 -4.211
39 FP1 114 -4.700
39 FP1 115 -5.188
39 FP1 116 -5.188
39 FP1 117 -5.188
39 FP1 118 -5.188
39 FP1 119 -4.700
39 FP1 120 -3.235
39 FP1 121 -1.770
39 FP1 122 0.183
39 FP1 123 1.160
39 FP1 124 1.160
39 FP1 125 0.183
39 FP1 126 -1.770
39 FP1 127 -2.258
39 FP1 128 -2.258
39 FP1 129 -1.282
39 FP1 130 0.183
39 FP1 131 2.625
39 FP1 132 4.578
39 FP1 133 6.042
39 FP1 134 6.531
39 FP1 135 7.019
39 FP1 136 7.507
39 FP1 137 7.507
39 FP1 138 7.507
39 FP1 139 6.531
39 FP1 140 5.066
39 FP1 141 4.089
39 FP1 142 4.089
39 FP1 143 5.554
39 FP1 144 7.996
39 FP1 145 10.437
39 FP1 146 11.902
39 FP1 147 11.902
39 FP1 148 10.925
39 FP1 149 8.972
39 FP1 150 7.019
39 FP1 151 4.578
39 FP1 152 3.601
39 FP1 153 4.578
39 FP1 154 6.531
39 FP1 155 8.484
39 FP1 156 10.437
39 FP1 157 11.414
39 FP1 158 10.437
39 FP1 159 8.972
39 FP1 160 7.507
39 FP1 161 5.554
39 FP1 162 3.601
39 FP1 163 2.136
39 FP1 164 0.671
39 FP1 165 0.183
39 FP1 166 0.671
39 FP1 167 0.671
39 FP1 168 0.671
39 FP1 169 -0.793
39 FP1 170 -3.235
39 FP1 171 -5.188
39 FP1 172 -6.165
39 FP1 173 -5.676
39 FP1 174 -4.700
39 FP1 175 -3.235
39 FP1 176 -2.258
39 FP1 177 -2.258
39 FP1 178 -2.747
39 FP1 179 -3.723
39 FP1 180 -4.700
39 FP1 181 -5.676
39 FP1 182 -5.676
39 FP1 183 -5.188
39 FP1 184 -4.211
39 FP1 185 -2.747
39 FP1 186 -1.770
39 FP1 187 -2.258
39 FP1 188 -3.235
39 FP1 189 -4.211
39 FP1 190 -3.723
39 FP1 191 -2.258
39 FP1 192 -1.282
39 FP1 193 -1.282
39 FP1 194 -4.211
39 FP1 195 -7.629
39 FP1 196 -10.559
39 FP1 197 -11.047
39 FP1 198 -9.094
39 FP1 199 -6.653
39 FP1 200 -4.700
39 FP1 201 -4.211
39 FP1 202 -4.211
39 FP1 203 -4.211
39 FP1 204 -3.723
39 FP1 205 -3.235
39 FP1 206 -2.258
39 FP1 207 -2.258
39 FP1 208 -2.258
39 FP1 209 -2.258
39 FP1 210 -1.770
39 FP1 211 -0.793
39 FP1 212 -0.305
39 FP1 213 0.183
39 FP1 214 0.671
39 FP1 215 0.183
39 FP1 216 -0.793
39 FP1 217 -3.235
39 FP1 218 -6.165
39 FP1 219 -9.583
39 FP1 220 -11.536
39 FP1 221 -11.536
39 FP1 222 -10.071
39 FP1 223 -8.118
39 FP1 224 -7.141
39 FP1 225 -7.141
39 FP1 226 -8.118
39 FP1 227 -8.606
39 FP1 228 -8.118
39 FP1 229 -6.165
39 FP1 230 -2.747
39 FP1 231 0.671
39 FP1 232 1.648
39 FP1 233 1.160
39 FP1 234 -0.793
39 FP1 235 -1.770
39 FP1 236 -1.282
39 FP1 237 0.183
39 FP1 238 2.625
39 FP1 239 4.089
39 FP1 240 4.578
39 FP1 241 4.089
39 FP1 242 3.601
39 FP1 243 2.625
39 FP1 244 2.625
39 FP1 245 3.113
39 FP1 246 4.089
39 FP1 247 5.554
39 FP1 248 6.042
39 FP1 249 6.042
39 FP1 250 5.066
39 FP1 251 3.601
39 FP1 252 1.648
39 FP1 253 1.160
39 FP1 254 0.671
39 FP1 255 -0.305
# FP2 chan 1
39 FP2 0 2.909
39 FP2 1 0.468
39 FP2 2 0.468
39 FP2 3 3.398
39 FP2 4 7.304
39 FP2 5 11.210
39 FP2 6 12.675
39 FP2 7 9.745
39 FP2 8 5.351
39 FP2 9 -0.020
39 FP2 10 -3.927
39 FP2 11 -4.903
39 FP2 12 -2.950
39 FP2 13 -0.020
39 FP2 14 1.933
39 FP2 15 2.909
39 FP2 16 2.421
39 FP2 17 -0.020
39 FP2 18 -2.950
39 FP2 19 -6.368
39 FP2 20 -8.809
39 FP2 21 -8.321
39 FP2 22 -5.880
39 FP2 23 -1.485
39 FP2 24 2.421
39 FP2 25 2.421
39 FP2 26 -0.997
39 FP2 27 -6.368
39 FP2 28 -10.763
39 FP2 29 -11.251
39 FP2 30 -8.809
39 FP2 31 -4.903
39 FP2 32 -2.950
39 FP2 33 -3.438
39 FP2 34 -5.880
39 FP2 35 -9.786
39 FP2 36 -12.716
39 FP2 37 -13.692
39 FP2 38 -13.204
39 FP2 39 -11.251
39 FP2 40 -8.809
39 FP2 41 -6.856
39 FP2 42 -6.856
39 FP2 43 -7.833
39 FP2 44 -10.274
39 FP2 45 -11.739
39 FP2 46 -12.227
39 FP2 47 -10.763
39 FP2 48 -9.298
39 FP2 49 -6.368
39 FP2 50 -3.927
39 FP2 51 -1.973
39 FP2 52 -0.997
39 FP2 53 -1.485
39 FP2 54 -2.950
39 FP2 55 -4.903
39 FP2 56 -5.880
39 FP2 57 -5.391
39 FP2 58 -3.927
39 FP2 59 -1.485
39 FP2 60 0.956
39 FP2 61 1.933
39 FP2 62 0.956
39 FP2 63 -1.973
39 FP2 64 -6.368
39 FP2 65 -10.763
39 FP2 66 -13.204
39 FP2 67 -13.692
39 FP2 68 -12.716
39 FP2 69 -10.763
39 FP2 70 -9.298
39 FP2 71 -8.321
39 FP2 72 -7.833
39 FP2 73 -7.833
39 FP2 74 -7.833
39 FP2 75 -7.345
39 FP2 76 -6.856
39 FP2 77 -6.856
39 FP2 78 -6.856
39 FP2 79 -7.833
39 FP2 80 -8.809
39 FP2 81 -9.786
39 FP2 82 -11.251
39 FP2 83 -12.716
39 FP2 84 -12.716
39 FP2 85 -12.716
