# co2a0000412.rd
# 120 trials, 64 chans, 416 samples 368 post_stim samples
# 3.906000 msecs uV
# S2 nomatch, trial 5
# FP1 chan 0
5 FP1 0 3.499
5 FP1 1 3.988
5 FP1 2 5.452
5 FP1 3 6.917
5 FP1 4 7.894
5 FP1 5 8.382
5 FP1 6 7.406
5 FP1 7 5.941
5 FP1 8 4.964
5 FP1 9 4.476
5 FP1 10 3.988
5 FP1 11 3.499
5 FP1 12 2.523
5 FP1 13 2.035
5 FP1 14 1.058
5 FP1 15 1.058
5 FP1 16 1.546
5 FP1 17 2.523
5 FP1 18 3.011
5 FP1 19 3.499
5 FP1 20 3.988
5 FP1 21 3.499
5 FP1 22 3.011
5 FP1 23 1.546
5 FP1 24 0.570
5 FP1 25 0.081
5 FP1 26 0.081
5 FP1 27 0.570
5 FP1 28 1.058
5 FP1 29 1.546
5 FP1 30 1.058
5 FP1 31 0.570
5 FP1 32 -0.407
5 FP1 33 -0.895
5 FP1 34 -1.383
5 FP1 35 -1.872
5 FP1 36 -1.872
5 FP1 37 -0.407
5 FP1 38 1.058
5 FP1 39 3.499
5 FP1 40 6.429
5 FP1 41 8.870
5 FP1 42 9.847
5 FP1 43 9.847
5 FP1 44 7.894
5 FP1 45 5.941
5 FP1 46 4.964
5 FP1 47 3.988
5 FP1 48 4.476
5 FP1 49 4.964
5 FP1 50 5.452
5 FP1 51 5.452
5 FP1 52 4.964
5 FP1 53 3.988
5 FP1 54 3.499
5 FP1 55 2.523
5 FP1 56 2.035
5 FP1 57 1.546
5 FP1 58 1.058
5 FP1 59 0.570
5 FP1 60 -0.407
5 FP1 61 -1.872
5 FP1 62 -2.360
5 FP1 63 -1.872
5 FP1 64 0.081
5 FP1 65 2.035
5 FP1 66 3.011
5 FP1 67 3.011
5 FP1 68 2.523
5 FP1 69 1.058
5 FP1 70 0.081
5 FP1 71 0.081
5 FP1 72 -0.407
5 FP1 73 -0.407
5 FP1 74 -0.895
5 FP1 75 -0.895
5 FP1 76 0.081
5 FP1 77 1.546
5 FP1 78 3.011
5 FP1 79 4.476
5 FP1 80 4.964
5 FP1 81 5.941
5 FP1 82 6.917
5 FP1 83 7.894
5 FP1 84 8.382
5 FP1 85 8.382
5 FP1 86 7.894
5 FP1 87 8.382
5 FP1 88 8.870
5 FP1 89 9.847
5 FP1 90 10.824
5 FP1 91 11.312
5 FP1 92 11.312
5 FP1 93 10.824
5 FP1 94 10.335
5 FP1 95 9.359
5 FP1 96 6.917
5 FP1 97 3.988
5 FP1 98 1.546
5 FP1 99 -0.407
5 FP1 100 -0.407
5 FP1 101 1.058
5 FP1 102 3.011
5 FP1 103 3.499
5 FP1 104 2.523
5 FP1 105 0.570
5 FP1 106 -0.895
5 FP1 107 -0.895
5 FP1 108 0.570
5 FP1 109 3.011
5 FP1 110 3.988
5 FP1 111 3.988
5 FP1 112 2.035
5 FP1 113 0.570
5 FP1 114 0.570
5 FP1 115 1.546
5 FP1 116 3.499
5 FP1 117 4.964
5 FP1 118 4.964
