# co2c0000339.rd
# 120 trials, 64 chans, 416 samples 368 post_stim samples
# 3.906000 msecs uV
# S2 nomatch, trial 39
# FP1 chan 0
39 FP1 0 -3.896
39 FP1 1 -3.896
39 FP1 2 -2.920
39 FP1 3 -1.455
39 FP1 4 0.498
39 FP1 5 2.452
39 FP1 6 4.405
39 FP1 7 5.870
39 FP1 8 5.870
39 FP1 9 4.893
39 FP1 10 3.428
39 FP1 11 2.940
39 FP1 12 2.940
39 FP1 13 4.405
39 FP1 14 5.870
39 FP1 15 7.823
39 FP1 16 7.823
39 FP1 17 7.334
39 FP1 18 6.846
39 FP1 19 6.358
39 FP1 20 6.358
39 FP1 21 6.846
39 FP1 22 8.311
39 FP1 23 9.288
39 FP1 24 10.752
39 FP1 25 12.217
39 FP1 26 13.194
39 FP1 27 13.194
39 FP1 28 12.217
39 FP1 29 11.241
39 FP1 30 10.264
39 FP1 31 10.264
39 FP1 32 10.264
39 FP1 33 10.264
39 FP1 34 9.776
39 FP1 35 9.288
39 FP1 36 8.311
39 FP1 37 8.311
39 FP1 38 9.288
39 FP1 39 10.264
39 FP1 40 11.241
39 FP1 41 12.217
39 FP1 42 11.729
39 FP1 43 11.241
39 FP1 44 10.264
39 FP1 45 9.288
39 FP1 46 7.823
39 FP1 47 6.358
39 FP1 48 5.870
39 FP1 49 5.870
39 FP1 50 6.846
39 FP1 51 7.823
39 FP1 52 7.823
39 FP1 53 7.334
39 FP1 54 5.870
39 FP1 55 4.405
39 FP1 56 3.916
39 FP1 57 4.405
39 FP1 58 4.893
39 FP1 59 5.870
39 FP1 60 6.846
39 FP1 61 6.846
39 FP1 62 7.334
39 FP1 63 7.334
39 FP1 64 6.846
39 FP1 65 5.381
39 FP1 66 3.428
39 FP1 67 1.475
39 FP1 68 -0.478
39 FP1 69 -0.966
39 FP1 70 -0.966
39 FP1 71 0.010
39 FP1 72 0.987
39 FP1 73 0.987
39 FP1 74 0.498
39 FP1 75 -0.478
39 FP1 76 -1.455
39 FP1 77 -1.943
39 FP1 78 -1.943
39 FP1 79 -1.455
39 FP1 80 -1.455
39 FP1 81 -1.455
39 FP1 82 -0.966
39 FP1 83 -0.966
39 FP1 84 -0.478
39 FP1 85 -0.966
39 FP1 86 -1.943
39 FP1 87 -2.920
39 FP1 88 -4.873
39 FP1 89 -6.337
39 FP1 90 -7.314
39 FP1 91 -7.802
39 FP1 92 -7.802
39 FP1 93 -6.826
39 FP1 94 -5.361
39 FP1 95 -3.896
39 FP1 96 -2.431
39 FP1 97 -0.966
39 FP1 98 -0.966
39 FP1 99 -0.966
39 FP1 100 -0.478
39 FP1 101 0.498
39 FP1 102 1.475
39 FP1 103 3.428
39 FP1 104 4.405
39 FP1 105 4.405
39 FP1 106 4.893
39 FP1 107 4.405
39 FP1 108 4.893
39 FP1 109 5.870
39 FP1 110 6.846
39 FP1 111 8.311
39 FP1 112 9.776
39 FP1 113 10.264
39 FP1 114 9.776
39 FP1 115 9.288
39 FP1 116 8.311
39 FP1 117 7.334
39 FP1 118 5.870
39 FP1 119 4.893
39 FP1 120 3.916
39 FP1 121 2.940
39 FP1 122 2.452
39 FP1 123 2.452
39 FP1 124 1.963
39 FP1 125 2.452
39 FP1 126 1.963
39 FP1 127 1.963
39 FP1 128 1.475
39 FP1 129 0.498
39 FP1 130 -0.966
39 FP1 131 -1.455
39 FP1 132 -2.431
39 FP1 133 -2.920
39 FP1 134 -2.431
39 FP1 135 -2.431
39 FP1 136 -2.431
39 FP1 137 -2.431
39 FP1 138 -2.431
39 FP1 139 -2.920
39 FP1 140 -2.431
39 FP1 141 -1.455
39 FP1 142 -0.478
39 FP1 143 0.498
39 FP1 144 0.498
39 FP1 145 -0.478
39 FP1 146 -1.455
39 FP1 147 -2.431
39 FP1 148 -2.920
39 FP1 149 -2.431
39 FP1 150 -1.943
39 FP1 151 -1.943
39 FP1 152 -3.896
39 FP1 153 -5.849
39 FP1 154 -7.314
39 FP1 155 -7.802
39 FP1 156 -7.314
39 FP1 157 -5.849
39 FP1 158 -4.873
39 FP1 159 -4.873
39 FP1 160 -5.849
39 FP1 161 -6.826
39 FP1 162 -7.314
39 FP1 163 -6.337
39 FP1 164 -4.873
39 FP1 165 -3.408
39 FP1 166 -3.408
39 FP1 167 -5.361
39 FP1 168 -7.802
39 FP1 169 -10.244
39 FP1 170 -11.709
39 FP1 171 -11.709
39 FP1 172 -10.244
39 FP1 173 -8.779
39 FP1 174 -6.826
39 FP1 175 -5.849
39 FP1 176 -5.849
39 FP1 177 -5.849
39 FP1 178 -6.337
39 FP1 179 -5.849
39 FP1 180 -4.873
39 FP1 181 -3.896
39 FP1 182 -3.408
39 FP1 183 -2.920
39 FP1 184 -2.431
39 FP1 185 -2.920
39 FP1 186 -2.920
39 FP1 187 -2.920
39 FP1 188 -2.920
39 FP1 189 -2.920
39 FP1 190 -3.408
39 FP1 191 -3.896
39 FP1 192 -4.384
39 FP1 193 -5.361
39 FP1 194 -5.849
39 FP1 195 -6.826
39 FP1 196 -7.314
39 FP1 197 -8.291
39 FP1 198 -9.267
39 FP1 199 -9.755
39 FP1 200 -10.732
39 FP1 201 -11.220
39 FP1 202 -11.220
39 FP1 203 -11.220
39 FP1 204 -10.244
39 FP1 205 -8.291
39 FP1 206 -5.849
39 FP1 207 -3.408
39 FP1 208 -1.943
39 FP1 209 -1.455
39 FP1 210 -2.431
39 FP1 211 -3.896
39 FP1 212 -3.896
39 FP1 213 -3.408
39 FP1 214 -1.943
39 FP1 215 -1.455
39 FP1 216 -0.966
39 FP1 217 -0.966
39 FP1 218 -0.478
39 FP1 219 0.010
39 FP1 220 0.498
39 FP1 221 0.010
39 FP1 222 -0.966
39 FP1 223 -1.455
39 FP1 224 -2.431
39 FP1 225 -3.408
39 FP1 226 -3.896
39 FP1 227 -3.408
39 FP1 228 -2.920
39 FP1 229 -0.966
39 FP1 230 0.987
39 FP1 231 2.452
39 FP1 232 2.452
39 FP1 233 1.963
39 FP1 234 0.498
39 FP1 235 -0.478
39 FP1 236 0.010
39 FP1 237 0.498
39 FP1 238 1.475
39 FP1 239 2.452
39 FP1 240 3.428
39 FP1 241 3.916
39 FP1 242 3.916
39 FP1 243 4.405
39 FP1 244 4.405
39 FP1 245 4.893
39 FP1 246 4.893
39 FP1 247 4.405
39 FP1 248 3.916
39 FP1 249 2.940
39 FP1 250 1.963
39 FP1 251 2.452
39 FP1 252 4.405
39 FP1 253 8.311
39 FP1 254 12.705
39 FP1 255 15.635
# FP2 chan 1
39 FP2 0 -5.463
39 FP2 1 -5.463
39 FP2 2 -4.974
39 FP2 3 -3.021
39 FP2 4 -0.580
39 FP2 5 1.862
39 FP2 6 3.815
39 FP2 7 5.280
39 FP2 8 5.280
39 FP2 9 3.326
39 FP2 10 1.862
39 FP2 11 0.397
39 FP2 12 0.397
39 FP2 13 1.862
39 FP2 14 3.815
39 FP2 15 5.280
39 FP2 16 5.768
39 FP2 17 5.280
39 FP2 18 3.815
39 FP2 19 3.326
39 FP2 20 3.326
39 FP2 21 4.791
39 FP2 22 6.256
39 FP2 23 7.721
39 FP2 24 9.186
39 FP2 25 10.162
39 FP2 26 11.139
39 FP2 27 10.651
39 FP2 28 9.674
39 FP2 29 8.698
39 FP2 30 7.721
39 FP2 31 7.233
39 FP2 32 7.233
39 FP2 33 7.233
39 FP2 34 7.233
39 FP2 35 6.256
39 FP2 36 5.280
39 FP2 37 4.791
39 FP2 38 5.280
39 FP2 39 6.256
39 FP2 40 7.233
39 FP2 41 7.721
39 FP2 42 7.721
39 FP2 43 7.233
39 FP2 44 6.744
39 FP2 45 5.768
39 FP2 46 5.280
39 FP2 47 4.303
39 FP2 48 3.326
39 FP2 49 2.838
39 FP2 50 2.838
39 FP2 51 3.326
39 FP2 52 3.326
39 FP2 53 2.838
39 FP2 54 1.373
39 FP2 55 -0.092
39 FP2 56 -0.092
39 FP2 57 0.397
39 FP2 58 1.862
39 FP2 59 2.838
39 FP2 60 3.326
39 FP2 61 3.815
39 FP2 62 4.303
39 FP2 63 5.280
39 FP2 64 5.768
39 FP2 65 4.791
39 FP2 66 2.838
39 FP2 67 1.373
39 FP2 68 -0.092
39 FP2 69 -0.092
39 FP2 70 0.885
39 FP2 71 2.350
39 FP2 72 3.326
39 FP2 73 3.815
39 FP2 74 3.326
39 FP2 75 2.350
39 FP2 76 1.373
39 FP2 77 0.885
39 FP2 78 0.397
39 FP2 79 0.397
39 FP2 80 -0.092
39 FP2 81 -0.092
39 FP2 82 -0.580
39 FP2 83 -0.580
39 FP2 84 -1.068
39 FP2 85 -1.556
39 FP2 86 -2.533
39 FP2 87 -3.998
39 FP2 88 -6.439
39 FP2 89 -8.392
39 FP2 90 -8.881
39 FP2 91 -9.369
39 FP2 92 -8.881
39 FP2 93 -7.904
39 FP2 94 -6.439
39 FP2 95 -4.486
