# co3a0000448.rd
# 120 trials, 64 chans, 416 samples 368 post_stim samples
# 3.906000 msecs uV
# S2 nomatch, trial 83
# FP1 chan 0
83 FP1 0 -5.656
83 FP1 1 -6.144
83 FP1 2 -5.168
83 FP1 3 -4.679
83 FP1 4 -6.144
83 FP1 5 -8.097
83 FP1 6 -8.097
83 FP1 7 -5.168
83 FP1 8 -0.285
83 FP1 9 2.157
83 FP1 10 0.203
83 FP1 11 -6.144
83 FP1 12 -12.004
83 FP1 13 -12.004
83 FP1 14 -6.144
83 FP1 15 2.645
83 FP1 16 8.993
83 FP1 17 9.481
83 FP1 18 5.086
83 FP1 19 -0.285
83 FP1 20 -2.726
83 FP1 21 -1.750
83 FP1 22 0.692
83 FP1 23 2.157
83 FP1 24 3.621
83 FP1 25 4.598
83 FP1 26 6.063
83 FP1 27 6.551
83 FP1 28 3.621
83 FP1 29 -2.238
83 FP1 30 -8.586
83 FP1 31 -11.027
83 FP1 32 -8.097
83 FP1 33 -1.750
83 FP1 34 3.621
83 FP1 35 5.086
83 FP1 36 2.157
83 FP1 37 -0.773
83 FP1 38 -1.261
83 FP1 39 0.692
83 FP1 40 4.110
83 FP1 41 5.086
83 FP1 42 4.110
83 FP1 43 3.621
83 FP1 44 4.110
83 FP1 45 6.063
83 FP1 46 8.993
83 FP1 47 10.946
83 FP1 48 12.410
83 FP1 49 12.899
83 FP1 50 12.410
83 FP1 51 10.457
83 FP1 52 6.551
83 FP1 53 2.645
83 FP1 54 -0.285
83 FP1 55 -1.261
83 FP1 56 -0.773
83 FP1 57 -1.750
83 FP1 58 -4.679
83 FP1 59 -9.074
83 FP1 60 -13.957
83 FP1 61 -16.886
83 FP1 62 -16.886
83 FP1 63 -12.980
83 FP1 64 -6.632
83 FP1 65 0.203
83 FP1 66 4.598
83 FP1 67 4.110
83 FP1 68 0.203
83 FP1 69 -4.679
83 FP1 70 -6.632
83 FP1 71 -5.168
83 FP1 72 -1.750
83 FP1 73 0.692
83 FP1 74 0.692
83 FP1 75 -0.773
83 FP1 76 -1.750
83 FP1 77 -1.261
83 FP1 78 -1.261
83 FP1 79 -3.215
83 FP1 80 -5.168
83 FP1 81 -5.168
83 FP1 82 -0.773
83 FP1 83 7.039
83 FP1 84 13.387
83 FP1 85 14.364
83 FP1 86 8.993
83 FP1 87 0.203
83 FP1 88 -6.144
83 FP1 89 -8.097
83 FP1 90 -6.144
83 FP1 91 -5.168
83 FP1 92 -6.144
83 FP1 93 -10.050
83 FP1 94 -13.468
83 FP1 95 -14.445
83 FP1 96 -13.957
83 FP1 97 -12.004
83 FP1 98 -9.562
83 FP1 99 -7.121
83 FP1 100 -4.191
83 FP1 101 -2.238
83 FP1 102 -2.238
83 FP1 103 -4.191
83 FP1 104 -7.609
83 FP1 105 -10.050
83 FP1 106 -9.074
83 FP1 107 -4.191
83 FP1 108 2.157
83 FP1 109 7.039
83 FP1 110 8.504
83 FP1 111 6.063
83 FP1 112 1.180
83 FP1 113 -4.191
83 FP1 114 -9.074
83 FP1 115 -11.027
83 FP1 116 -11.027
83 FP1 117 -8.097
83 FP1 118 -3.703
83 FP1 119 -1.261
83 FP1 120 -0.773
83 FP1 121 -3.215
83 FP1 122 -5.656
83 FP1 123 -5.656
83 FP1 124 -1.261
83 FP1 125 6.063
83 FP1 126 11.922
