# co2c0000341.rd
# 120 trials, 64 chans, 416 samples 368 post_stim samples
# 3.906000 msecs uV
# S2 nomatch, trial 15
# FP1 chan 0
15 FP1 0 -0.437
15 FP1 1 0.051
15 FP1 2 -0.926
15 FP1 3 -4.344
15 FP1 4 -8.250
15 FP1 5 -11.668
15 FP1 6 -12.644
15 FP1 7 -10.203
15 FP1 8 -6.297
15 FP1 9 -1.902
15 FP1 10 0.539
15 FP1 11 1.027
15 FP1 12 -0.437
15 FP1 13 -2.391
15 FP1 14 -2.879
15 FP1 15 -2.391
15 FP1 16 -1.902
15 FP1 17 -1.414
15 FP1 18 -1.414
15 FP1 19 -1.414
15 FP1 20 -0.926
15 FP1 21 -0.926
15 FP1 22 -1.902
15 FP1 23 -2.879
15 FP1 24 -4.344
15 FP1 25 -5.320
15 FP1 26 -5.809
15 FP1 27 -5.320
15 FP1 28 -4.832
15 FP1 29 -3.855
15 FP1 30 -2.391
15 FP1 31 -0.926
15 FP1 32 0.051
15 FP1 33 -0.437
15 FP1 34 -2.391
15 FP1 35 -3.855
15 FP1 36 -3.855
15 FP1 37 -1.414
15 FP1 38 2.492
15 FP1 39 6.399
15 FP1 40 8.840
15 FP1 41 9.816
15 FP1 42 9.816
15 FP1 43 9.816
15 FP1 44 9.816
15 FP1 45 8.840
15 FP1 46 6.887
15 FP1 47 4.445
15 FP1 48 2.981
15 FP1 49 2.004
15 FP1 50 1.516
15 FP1 51 2.004
15 FP1 52 2.004
15 FP1 53 2.492
15 FP1 54 2.492
15 FP1 55 2.492
15 FP1 56 2.492
15 FP1 57 1.516
15 FP1 58 0.539
15 FP1 59 -1.414
15 FP1 60 -3.367
15 FP1 61 -5.320
15 FP1 62 -5.320
15 FP1 63 -3.855
15 FP1 64 -1.414
15 FP1 65 1.027
15 FP1 66 2.004
15 FP1 67 1.027
15 FP1 68 -0.926
15 FP1 69 -2.391
15 FP1 70 -1.902
15 FP1 71 0.051
15 FP1 72 1.516
15 FP1 73 1.027
15 FP1 74 -1.414
15 FP1 75 -4.344
15 FP1 76 -6.297
15 FP1 77 -6.297
15 FP1 78 -4.344
15 FP1 79 -1.902
15 FP1 80 0.539
15 FP1 81 1.516
15 FP1 82 1.027
15 FP1 83 -0.437
15 FP1 84 -1.902
15 FP1 85 -2.879
15 FP1 86 -2.391
15 FP1 87 -0.437
15 FP1 88 1.516
15 FP1 89 2.004
15 FP1 90 0.051
15 FP1 91 -3.855
15 FP1 92 -6.785
15 FP1 93 -6.785
15 FP1 94 -3.855
15 FP1 95 1.516
15 FP1 96 6.399
15 FP1 97 9.328
15 FP1 98 8.840
15 FP1 99 5.422
15 FP1 100 2.004
15 FP1 101 0.539
15 FP1 102 1.516
15 FP1 103 3.957
15 FP1 104 6.399
15 FP1 105 7.375
15 FP1 106 5.422
15 FP1 107 2.981
15 FP1 108 1.516
15 FP1 109 2.981
15 FP1 110 5.910
15 FP1 111 9.816
15 FP1 112 11.281
15 FP1 113 10.793
15 FP1 114 8.352
15 FP1 115 5.910
15 FP1 116 4.934
15 FP1 117 5.422
15 FP1 118 7.375
15 FP1 119 8.840
15 FP1 120 8.840
15 FP1 121 6.887
15 FP1 122 4.934
15 FP1 123 3.469
15 FP1 124 3.957
15 FP1 125 4.445
15 FP1 126 5.422
15 FP1 127 5.422
15 FP1 128 4.445
15 FP1 129 2.492
15 FP1 130 0.051
15 FP1 131 -0.926
15 FP1 132 -0.437
15 FP1 133 1.516
15 FP1 134 4.934
15 FP1 135 6.887
15 FP1 136 7.863
15 FP1 137 5.422
15 FP1 138 2.004
15 FP1 139 -1.414
15 FP1 140 -3.367
15 FP1 141 -2.879
15 FP1 142 -0.926
15 FP1 143 1.027
15 FP1 144 1.027
15 FP1 145 0.051
15 FP1 146 -0.926
15 FP1 147 -1.902
15 FP1 148 -2.391
15 FP1 149 -1.902
15 FP1 150 -1.902
15 FP1 151 -2.391
15 FP1 152 -2.391
15 FP1 153 -2.391
15 FP1 154 -1.902
15 FP1 155 -1.902
15 FP1 156 -3.367
15 FP1 157 -5.320
15 FP1 158 -6.785
15 FP1 159 -7.273
15 FP1 160 -6.785
15 FP1 161 -5.320
15 FP1 162 -4.344
15 FP1 163 -4.344
15 FP1 164 -4.832
15 FP1 165 -4.832
15 FP1 166 -3.855
15 FP1 167 -0.926
15 FP1 168 1.516
15 FP1 169 3.469
15 FP1 170 2.981
15 FP1 171 1.516
15 FP1 172 0.051
15 FP1 173 -0.437
15 FP1 174 0.051
15 FP1 175 1.027
15 FP1 176 2.492
15 FP1 177 3.957
15 FP1 178 4.445
15 FP1 179 4.445
15 FP1 180 3.469
15 FP1 181 2.004
15 FP1 182 0.539
15 FP1 183 1.027
15 FP1 184 4.445
15 FP1 185 9.816
15 FP1 186 14.211
15 FP1 187 15.676
15 FP1 188 14.699
15 FP1 189 12.258
15 FP1 190 10.793
15 FP1 191 10.793
15 FP1 192 11.281
15 FP1 193 11.770
15 FP1 194 11.281
15 FP1 195 10.305
15 FP1 196 9.816
15 FP1 197 8.840
15 FP1 198 7.375
15 FP1 199 4.934
15 FP1 200 2.981
15 FP1 201 2.981
15 FP1 202 4.445
15 FP1 203 6.887
15 FP1 204 8.352
15 FP1 205 8.840
15 FP1 206 8.352
15 FP1 207 8.840
15 FP1 208 9.328
15 FP1 209 10.305
15 FP1 210 10.793
15 FP1 211 10.793
15 FP1 212 10.305
15 FP1 213 9.328
15 FP1 214 8.352
15 FP1 215 6.887
15 FP1 216 5.910
15 FP1 217 6.887
15 FP1 218 9.328
15 FP1 219 12.746
15 FP1 220 15.188
15 FP1 221 16.164
15 FP1 222 15.188
15 FP1 223 12.746
15 FP1 224 11.281
15 FP1 225 10.793
15 FP1 226 12.258
15 FP1 227 14.211
15 FP1 228 16.164
15 FP1 229 17.141
15 FP1 230 16.652
15 FP1 231 15.676
15 FP1 232 13.723
15 FP1 233 11.770
15 FP1 234 10.793
15 FP1 235 10.305
15 FP1 236 10.793
15 FP1 237 12.258
15 FP1 238 13.234
15 FP1 239 13.723
15 FP1 240 13.234
15 FP1 241 12.746
15 FP1 242 12.258
15 FP1 243 12.746
15 FP1 244 14.211
15 FP1 245 15.188
15 FP1 246 15.188
15 FP1 247 14.211
15 FP1 248 13.234
15 FP1 249 13.234
15 FP1 250 13.723
15 FP1 251 14.211
15 FP1 252 15.188
15 FP1 253 15.676
15 FP1 254 15.676
15 FP1 255 16.164
# FP2 chan 1
15 FP2 0 -0.590
15 FP2 1 0.387
15 FP2 2 -0.590
15 FP2 3 -4.008
15 FP2 4 -9.379
15 FP2 5 -13.285
15 FP2 6 -14.750
15 FP2 7 -12.797
15 FP2 8 -7.914
15 FP2 9 -4.008
15 FP2 10 -2.055
15 FP2 11 -2.055
15 FP2 12 -3.520
15 FP2 13 -4.496
15 FP2 14 -4.008
