# co3a0000458.rd
# 120 trials, 64 chans, 416 samples 368 post_stim samples
# 3.906000 msecs uV
# S2 nomatch, trial 73
# FP1 chan 0
73 FP1 0 -8.453
73 FP1 1 -8.453
73 FP1 2 -6.989
73 FP1 3 -4.059
73 FP1 4 -2.106
73 FP1 5 -1.617
73 FP1 6 -1.617
73 FP1 7 -2.594
73 FP1 8 -3.082
73 FP1 9 -4.059
73 FP1 10 -4.547
73 FP1 11 -5.035
73 FP1 12 -4.059
73 FP1 13 -1.617
73 FP1 14 1.312
73 FP1 15 3.754
73 FP1 16 4.242
73 FP1 17 2.777
73 FP1 18 0.824
73 FP1 19 -0.641
73 FP1 20 -1.129
73 FP1 21 -1.129
73 FP1 22 -1.129
73 FP1 23 -2.106
73 FP1 24 -3.082
73 FP1 25 -3.571
73 FP1 26 -3.571
73 FP1 27 -4.059
73 FP1 28 -5.035
73 FP1 29 -6.500
73 FP1 30 -7.965
73 FP1 31 -7.965
73 FP1 32 -6.500
73 FP1 33 -4.059
73 FP1 34 -2.594
73 FP1 35 -2.594
73 FP1 36 -3.082
73 FP1 37 -3.571
73 FP1 38 -3.082
73 FP1 39 -1.129
73 FP1 40 1.312
73 FP1 41 2.777
73 FP1 42 2.777
73 FP1 43 1.801
73 FP1 44 0.824
73 FP1 45 0.824
73 FP1 46 2.289
73 FP1 47 4.242
73 FP1 48 4.730
73 FP1 49 2.777
73 FP1 50 -1.129
73 FP1 51 -5.524
73 FP1 52 -7.965
73 FP1 53 -7.477
73 FP1 54 -5.524
73 FP1 55 -2.594
73 FP1 56 -1.129
73 FP1 57 -2.106
73 FP1 58 -4.059
73 FP1 59 -6.989
73 FP1 60 -9.430
73 FP1 61 -9.918
73 FP1 62 -8.453
73 FP1 63 -5.524
73 FP1 64 -2.594
73 FP1 65 -0.153
73 FP1 66 0.336
73 FP1 67 -0.641
73 FP1 68 -3.082
73 FP1 69 -6.989
73 FP1 70 -10.895
73 FP1 71 -13.336
73 FP1 72 -13.336
73 FP1 73 -10.895
73 FP1 74 -6.989
73 FP1 75 -3.571
73 FP1 76 -3.082
73 FP1 77 -6.012
73 FP1 78 -10.406
73 FP1 79 -14.801
73 FP1 80 -16.754
73 FP1 81 -15.289
73 FP1 82 -10.895
73 FP1 83 -5.524
73 FP1 84 -1.617
73 FP1 85 -0.153
73 FP1 86 -1.617
73 FP1 87 -3.571
73 FP1 88 -6.012
73 FP1 89 -6.989
73 FP1 90 -6.500
73 FP1 91 -5.035
73 FP1 92 -3.082
73 FP1 93 -1.129
73 FP1 94 0.824
73 FP1 95 1.801
73 FP1 96 1.312
73 FP1 97 -1.129
73 FP1 98 -5.035
73 FP1 99 -8.942
73 FP1 100 -11.383
73 FP1 101 -11.871
73 FP1 102 -10.406
73 FP1 103 -7.477
73 FP1 104 -5.035
73 FP1 105 -4.059
73 FP1 106 -4.547
73 FP1 107 -5.524
73 FP1 108 -5.524
73 FP1 109 -4.547
73 FP1 110 -3.082
73 FP1 111 -1.129
73 FP1 112 -0.641
73 FP1 113 -0.641
73 FP1 114 -1.129
73 FP1 115 -1.617
73 FP1 116 -1.129
73 FP1 117 -0.153
73 FP1 118 0.824
73 FP1 119 0.824
73 FP1 120 -0.153
73 FP1 121 -1.617
73 FP1 122 -3.571
73 FP1 123 -5.035
73 FP1 124 -6.989
73 FP1 125 -7.965
73 FP1 126 -7.965
73 FP1 127 -7.477
73 FP1 128 -6.500
73 FP1 129 -6.012
73 FP1 130 -6.012
73 FP1 131 -6.500
73 FP1 132 -6.989
73 FP1 133 -6.500
73 FP1 134 -5.524
73 FP1 135 -4.547
73 FP1 136 -5.524
73 FP1 137 -7.965
73 FP1 138 -11.383
73 FP1 139 -14.801
73 FP1 140 -16.266
73 FP1 141 -16.754
73 FP1 142 -16.754
73 FP1 143 -17.242
73 FP1 144 -17.731
73 FP1 145 -18.219
73 FP1 146 -17.731
73 FP1 147 -16.754
73 FP1 148 -15.778
73 FP1 149 -16.266
73 FP1 150 -16.266
73 FP1 151 -16.266
73 FP1 152 -14.801
73 FP1 153 -12.848
73 FP1 154 -11.383
73 FP1 155 -11.871
73 FP1 156 -14.313
73 FP1 157 -16.266
73 FP1 158 -16.754
73 FP1 159 -14.801
73 FP1 160 -10.895
73 FP1 161 -7.477
73 FP1 162 -6.500
73 FP1 163 -8.453
73 FP1 164 -12.360
73 FP1 165 -16.266
73 FP1 166 -17.731
73 FP1 167 -16.754
73 FP1 168 -13.824
73 FP1 169 -11.383
73 FP1 170 -9.918
73 FP1 171 -10.895
73 FP1 172 -12.848
73 FP1 173 -14.801
73 FP1 174 -15.778
73 FP1 175 -14.801
73 FP1 176 -12.848
73 FP1 177 -9.918
73 FP1 178 -8.453
73 FP1 179 -8.942
73 FP1 180 -12.360
73 FP1 181 -16.754
73 FP1 182 -20.172
73 FP1 183 -20.172
73 FP1 184 -17.242
73 FP1 185 -12.848
73 FP1 186 -9.918
73 FP1 187 -9.918
73 FP1 188 -12.848
73 FP1 189 -16.754
73 FP1 190 -18.219
73 FP1 191 -17.731
73 FP1 192 -15.289
73 FP1 193 -12.848
73 FP1 194 -10.406
73 FP1 195 -9.430
73 FP1 196 -10.406
73 FP1 197 -12.848
73 FP1 198 -16.266
73 FP1 199 -20.172
73 FP1 200 -21.637
73 FP1 201 -20.660
73 FP1 202 -17.242
73 FP1 203 -14.313
73 FP1 204 -12.360
73 FP1 205 -13.336
73 FP1 206 -15.778
73 FP1 207 -18.219
73 FP1 208 -19.196
73 FP1 209 -20.172
73 FP1 210 -20.172
73 FP1 211 -20.660
73 FP1 212 -20.660
73 FP1 213 -19.196
73 FP1 214 -17.731
73 FP1 215 -16.754
73 FP1 216 -16.754
73 FP1 217 -18.707
73 FP1 218 -20.172
