# co2c0000337.rd
# 120 trials, 64 chans, 416 samples 368 post_stim samples
# 3.906000 msecs uV
# S2 nomatch, trial 89
# FP1 chan 0
89 FP1 0 -0.061
89 FP1 1 -1.526
89 FP1 2 -4.456
89 FP1 3 -7.874
89 FP1 4 -10.315
89 FP1 5 -9.338
89 FP1 6 -5.432
89 FP1 7 -0.061
89 FP1 8 5.310
89 FP1 9 7.263
89 FP1 10 5.310
89 FP1 11 0.427
89 FP1 12 -5.432
89 FP1 13 -9.827
89 FP1 14 -11.292
89 FP1 15 -10.803
89 FP1 16 -7.874
89 FP1 17 -3.479
89 FP1 18 0.427
89 FP1 19 3.845
89 FP1 20 4.822
89 FP1 21 3.845
89 FP1 22 2.869
89 FP1 23 2.380
89 FP1 24 1.892
89 FP1 25 0.427
89 FP1 26 -3.967
89 FP1 27 -9.827
89 FP1 28 -15.198
89 FP1 29 -16.663
89 FP1 30 -13.245
89 FP1 31 -5.920
89 FP1 32 0.427
89 FP1 33 2.869
89 FP1 34 2.380
89 FP1 35 -1.038
89 FP1 36 -3.479
89 FP1 37 -3.479
89 FP1 38 -0.549
89 FP1 39 2.380
89 FP1 40 3.357
89 FP1 41 3.357
89 FP1 42 1.404
89 FP1 43 -1.038
89 FP1 44 -2.502
89 FP1 45 -3.479
89 FP1 46 -2.991
89 FP1 47 -1.038
89 FP1 48 0.916
89 FP1 49 2.380
89 FP1 50 0.916
89 FP1 51 -2.502
89 FP1 52 -6.897
89 FP1 53 -11.292
89 FP1 54 -14.221
89 FP1 55 -16.174
89 FP1 56 -16.663
89 FP1 57 -17.151
89 FP1 58 -16.174
89 FP1 59 -14.709
89 FP1 60 -13.245
89 FP1 61 -12.756
89 FP1 62 -13.733
89 FP1 63 -16.174
89 FP1 64 -17.639
89 FP1 65 -16.663
89 FP1 66 -12.756
89 FP1 67 -8.362
89 FP1 68 -5.432
89 FP1 69 -4.944
89 FP1 70 -6.897
89 FP1 71 -9.827
89 FP1 72 -11.780
89 FP1 73 -12.268
89 FP1 74 -11.780
89 FP1 75 -11.292
89 FP1 76 -10.803
89 FP1 77 -11.780
89 FP1 78 -13.245
89 FP1 79 -15.686
89 FP1 80 -19.104
89 FP1 81 -21.545
89 FP1 82 -22.522
89 FP1 83 -22.034
89 FP1 84 -20.569
89 FP1 85 -19.104
89 FP1 86 -17.639
89 FP1 87 -16.174
89 FP1 88 -13.245
89 FP1 89 -10.315
89 FP1 90 -9.338
89 FP1 91 -10.803
89 FP1 92 -14.221
89 FP1 93 -18.127
89 FP1 94 -20.081
89 FP1 95 -19.592
89 FP1 96 -17.151
89 FP1 97 -13.733
89 FP1 98 -10.803
89 FP1 99 -7.874
89 FP1 100 -5.920
89 FP1 101 -5.920
89 FP1 102 -6.409
89 FP1 103 -7.385
89 FP1 104 -6.409
89 FP1 105 -4.944
89 FP1 106 -2.502
89 FP1 107 -1.038
89 FP1 108 -1.526
89 FP1 109 -3.479
89 FP1 110 -5.432
89 FP1 111 -7.385
89 FP1 112 -7.874
89 FP1 113 -8.850
89 FP1 114 -10.315
89 FP1 115 -11.292
89 FP1 116 -11.780
89 FP1 117 -10.803
89 FP1 118 -7.874
89 FP1 119 -3.967
89 FP1 120 -0.549
89 FP1 121 0.916
89 FP1 122 1.404
89 FP1 123 0.427
89 FP1 124 -0.061
89 FP1 125 -0.549
89 FP1 126 -2.014
89 FP1 127 -3.967
89 FP1 128 -6.409
89 FP1 129 -8.362
89 FP1 130 -8.850
89 FP1 131 -9.338
89 FP1 132 -8.850
89 FP1 133 -8.850
89 FP1 134 -8.850
89 FP1 135 -8.850
89 FP1 136 -7.874
89 FP1 137 -7.385
89 FP1 138 -6.897
89 FP1 139 -6.409
89 FP1 140 -4.944
89 FP1 141 -2.014
89 FP1 142 0.427
89 FP1 143 0.916
89 FP1 144 -1.526
89 FP1 145 -5.920
89 FP1 146 -8.362
89 FP1 147 -6.897
89 FP1 148 -1.526
89 FP1 149 3.845
89 FP1 150 6.775
89 FP1 151 5.310
89 FP1 152 1.892
89 FP1 153 -1.038
89 FP1 154 -2.014
89 FP1 155 -1.038
89 FP1 156 -2.014
