# co3a0000461.rd
# 120 trials, 64 chans, 416 samples 368 post_stim samples
# 3.906000 msecs uV
# S2 nomatch, trial 43
# FP1 chan 0
43 FP1 0 0.641
43 FP1 1 0.641
43 FP1 2 0.641
43 FP1 3 0.153
43 FP1 4 -0.824
43 FP1 5 -1.312
43 FP1 6 -1.312
43 FP1 7 -1.801
43 FP1 8 -1.801
43 FP1 9 -1.312
43 FP1 10 -0.824
43 FP1 11 0.153
43 FP1 12 -0.336
43 FP1 13 -0.824
43 FP1 14 -1.801
43 FP1 15 -2.289
43 FP1 16 -2.289
43 FP1 17 -1.312
43 FP1 18 0.153
43 FP1 19 1.617
43 FP1 20 3.082
43 FP1 21 4.059
43 FP1 22 4.547
43 FP1 23 4.547
43 FP1 24 4.547
43 FP1 25 4.059
43 FP1 26 3.082
43 FP1 27 3.082
43 FP1 28 3.571
43 FP1 29 4.547
43 FP1 30 6.012
43 FP1 31 7.477
43 FP1 32 7.965
43 FP1 33 8.453
43 FP1 34 8.942
43 FP1 35 10.406
43 FP1 36 12.848
43 FP1 37 15.289
43 FP1 38 16.754
43 FP1 39 17.242
43 FP1 40 16.754
43 FP1 41 15.778
43 FP1 42 15.289
43 FP1 43 15.289
43 FP1 44 15.778
43 FP1 45 15.778
43 FP1 46 14.801
43 FP1 47 13.336
43 FP1 48 11.383
43 FP1 49 10.406
43 FP1 50 11.383
43 FP1 51 12.360
43 FP1 52 13.824
43 FP1 53 13.336
43 FP1 54 12.360
43 FP1 55 11.871
43 FP1 56 11.871
43 FP1 57 12.848
43 FP1 58 14.313
43 FP1 59 14.801
43 FP1 60 13.824
43 FP1 61 11.871
43 FP1 62 9.918
43 FP1 63 8.453
43 FP1 64 8.453
43 FP1 65 8.453
43 FP1 66 8.453
43 FP1 67 7.965
43 FP1 68 7.477
43 FP1 69 6.989
43 FP1 70 7.965
43 FP1 71 8.453
43 FP1 72 9.430
43 FP1 73 10.406
43 FP1 74 11.383
43 FP1 75 12.360
43 FP1 76 13.336
43 FP1 77 14.801
43 FP1 78 15.289
43 FP1 79 14.801
43 FP1 80 13.336
43 FP1 81 12.360
43 FP1 82 11.871
43 FP1 83 13.336
43 FP1 84 14.801
43 FP1 85 15.289
43 FP1 86 14.313
43 FP1 87 11.383
43 FP1 88 7.965
43 FP1 89 5.524
43 FP1 90 4.059
43 FP1 91 3.571
43 FP1 92 3.571
43 FP1 93 3.571
43 FP1 94 3.571
43 FP1 95 4.059
43 FP1 96 4.547
43 FP1 97 5.524
43 FP1 98 6.012
43 FP1 99 5.524
43 FP1 100 4.059
43 FP1 101 3.082
43 FP1 102 2.594
43 FP1 103 2.106
43 FP1 104 2.594
43 FP1 105 3.082
43 FP1 106 4.059
43 FP1 107 5.035
43 FP1 108 6.500
43 FP1 109 7.477
43 FP1 110 7.477
43 FP1 111 6.989
43 FP1 112 5.524
43 FP1 113 4.547
43 FP1 114 4.547
43 FP1 115 5.524
43 FP1 116 6.012
43 FP1 117 6.012
43 FP1 118 5.524
43 FP1 119 4.547
43 FP1 120 3.571
43 FP1 121 4.059
43 FP1 122 5.524
43 FP1 123 6.989
43 FP1 124 8.453
43 FP1 125 8.942
43 FP1 126 8.453
43 FP1 127 6.989
43 FP1 128 6.012
43 FP1 129 5.035
43 FP1 130 5.035
43 FP1 131 6.012
43 FP1 132 7.965
43 FP1 133 9.430
43 FP1 134 9.918
43 FP1 135 9.918
43 FP1 136 9.430
43 FP1 137 8.942
43 FP1 138 9.430
43 FP1 139 10.406
43 FP1 140 10.895
43 FP1 141 11.383
43 FP1 142 10.406
43 FP1 143 8.942
43 FP1 144 7.965
43 FP1 145 7.965
43 FP1 146 7.965
43 FP1 147 8.942
43 FP1 148 9.430
43 FP1 149 10.406
43 FP1 150 11.383
43 FP1 151 12.848
43 FP1 152 13.824
43 FP1 153 14.313
43 FP1 154 13.824
43 FP1 155 12.848
43 FP1 156 11.383
43 FP1 157 10.406
43 FP1 158 9.918
43 FP1 159 10.406
43 FP1 160 10.406
43 FP1 161 9.918
43 FP1 162 8.942
43 FP1 163 7.965
43 FP1 164 6.989
43 FP1 165 6.989
43 FP1 166 6.500
43 FP1 167 6.500
43 FP1 168 5.035
43 FP1 169 3.571
43 FP1 170 2.594
43 FP1 171 3.082
43 FP1 172 4.059
43 FP1 173 5.035
43 FP1 174 5.524
43 FP1 175 5.035
43 FP1 176 5.035
43 FP1 177 5.035
43 FP1 178 5.035
43 FP1 179 5.035
43 FP1 180 4.059
43 FP1 181 2.594
43 FP1 182 1.617
43 FP1 183 1.129
43 FP1 184 2.106
43 FP1 185 3.082
43 FP1 186 4.059
43 FP1 187 4.059
43 FP1 188 3.571
43 FP1 189 3.082
43 FP1 190 2.594
43 FP1 191 2.594
43 FP1 192 2.106
43 FP1 193 1.129
43 FP1 194 0.153
43 FP1 195 0.641
43 FP1 196 2.106
43 FP1 197 4.547
43 FP1 198 6.012
43 FP1 199 6.500
43 FP1 200 6.500
43 FP1 201 6.012
43 FP1 202 6.500
43 FP1 203 6.989
43 FP1 204 7.477
43 FP1 205 6.989
43 FP1 206 6.012
43 FP1 207 5.035
43 FP1 208 5.035
43 FP1 209 6.012
43 FP1 210 8.453
43 FP1 211 10.895
43 FP1 212 12.848
43 FP1 213 13.824
43 FP1 214 13.824
43 FP1 215 14.313
43 FP1 216 13.824
43 FP1 217 13.336
43 FP1 218 12.848
43 FP1 219 11.383
43 FP1 220 9.918
43 FP1 221 7.965
43 FP1 222 6.012
43 FP1 223 5.035
43 FP1 224 5.035
43 FP1 225 5.524
43 FP1 226 6.500
43 FP1 227 7.965
43 FP1 228 8.453
43 FP1 229 8.453
43 FP1 230 8.453
43 FP1 231 9.430
43 FP1 232 11.383
43 FP1 233 13.824
43 FP1 234 16.266
43 FP1 235 17.242
43 FP1 236 16.266
43 FP1 237 14.801
43 FP1 238 12.360
43 FP1 239 10.406
43 FP1 240 8.453
43 FP1 241 7.477
43 FP1 242 7.477
43 FP1 243 8.453
43 FP1 244 9.918
43 FP1 245 10.406
43 FP1 246 10.406
43 FP1 247 9.430
43 FP1 248 8.453
43 FP1 249 7.965
43 FP1 250 8.453
43 FP1 251 9.430
43 FP1 252 10.895
43 FP1 253 12.360
43 FP1 254 13.824
43 FP1 255 15.289
# FP2 chan 1
43 FP2 0 2.716
43 FP2 1 1.740
43 FP2 2 0.275
43 FP2 3 -0.702
43 FP2 4 -0.214
43 FP2 5 0.763
43 FP2 6 2.228
43 FP2 7 3.204
43 FP2 8 3.204
43 FP2 9 3.204
43 FP2 10 3.204
43 FP2 11 3.204
43 FP2 12 2.228
43 FP2 13 1.251
43 FP2 14 0.275
43 FP2 15 -0.702
43 FP2 16 -0.702
43 FP2 17 0.763
43 FP2 18 1.740
43 FP2 19 3.204
43 FP2 20 3.693
43 FP2 21 3.693
43 FP2 22 3.693
43 FP2 23 3.693
43 FP2 24 3.693
43 FP2 25 2.716
43 FP2 26 1.740
43 FP2 27 1.251
43 FP2 28 1.251
43 FP2 29 2.716
43 FP2 30 5.157
43 FP2 31 7.599
43 FP2 32 9.552
43 FP2 33 10.529
43 FP2 34 11.017
43 FP2 35 11.993
43 FP2 36 13.458
43 FP2 37 15.411
43 FP2 38 16.388
43 FP2 39 16.388
43 FP2 40 15.411
43 FP2 41 13.458
43 FP2 42 11.993
43 FP2 43 11.993
43 FP2 44 12.482
43 FP2 45 13.458
43 FP2 46 12.482
43 FP2 47 10.529
43 FP2 48 8.087
43 FP2 49 7.111
43 FP2 50 7.599
43 FP2 51 9.064
43 FP2 52 10.529
43 FP2 53 11.017
43 FP2 54 9.552
43 FP2 55 8.087
