# co2a0000364.rd
# 120 trials, 64 chans, 416 samples 368 post_stim samples
# 3.906000 msecs uV
# S2 nomatch, trial 89
# FP1 chan 0
89 FP1 0 -1.729
89 FP1 1 -0.753
89 FP1 2 0.712
89 FP1 3 1.200
89 FP1 4 0.224
89 FP1 5 -2.218
89 FP1 6 -2.218
89 FP1 7 0.712
89 FP1 8 5.595
89 FP1 9 9.013
89 FP1 10 9.013
89 FP1 11 6.571
89 FP1 12 3.153
89 FP1 13 1.200
89 FP1 14 0.712
89 FP1 15 1.689
89 FP1 16 1.200
89 FP1 17 0.224
89 FP1 18 -0.264
89 FP1 19 -0.264
89 FP1 20 0.224
89 FP1 21 1.200
89 FP1 22 2.177
89 FP1 23 2.665
89 FP1 24 2.665
89 FP1 25 1.200
89 FP1 26 -0.264
89 FP1 27 -2.218
89 FP1 28 -3.194
89 FP1 29 -4.171
89 FP1 30 -5.147
89 FP1 31 -6.612
89 FP1 32 -10.030
89 FP1 33 -13.936
89 FP1 34 -15.401
89 FP1 35 -14.913
89 FP1 36 -12.472
89 FP1 37 -9.054
89 FP1 38 -6.612
89 FP1 39 -5.636
89 FP1 40 -5.147
89 FP1 41 -4.659
89 FP1 42 -3.682
89 FP1 43 -2.218
89 FP1 44 -0.753
89 FP1 45 -0.753
89 FP1 46 -1.729
89 FP1 47 -3.682
89 FP1 48 -5.147
89 FP1 49 -5.636
89 FP1 50 -4.659
89 FP1 51 -2.706
89 FP1 52 -1.241
89 FP1 53 0.224
89 FP1 54 0.712
89 FP1 55 1.200
89 FP1 56 1.689
89 FP1 57 1.689
89 FP1 58 1.200
89 FP1 59 0.224
89 FP1 60 -1.241
89 FP1 61 -2.218
89 FP1 62 -2.218
89 FP1 63 -1.729
89 FP1 64 -0.264
89 FP1 65 1.200
89 FP1 66 1.689
89 FP1 67 1.689
89 FP1 68 0.712
89 FP1 69 -0.264
89 FP1 70 -1.241
89 FP1 71 -1.729
89 FP1 72 -0.264
89 FP1 73 2.177
89 FP1 74 5.595
89 FP1 75 7.060
89 FP1 76 6.083
89 FP1 77 2.177
89 FP1 78 -1.729
89 FP1 79 -3.194
89 FP1 80 -1.729
89 FP1 81 1.200
89 FP1 82 2.177
89 FP1 83 0.224
89 FP1 84 -4.659
89 FP1 85 -9.054
89 FP1 86 -11.007
89 FP1 87 -9.054
89 FP1 88 -6.124
89 FP1 89 -3.682
89 FP1 90 -2.706
89 FP1 91 -3.194
89 FP1 92 -3.682
89 FP1 93 -4.659
89 FP1 94 -5.147
89 FP1 95 -6.124
89 FP1 96 -6.612
89 FP1 97 -7.100
89 FP1 98 -7.100
89 FP1 99 -7.589
89 FP1 100 -8.565
89 FP1 101 -9.542
89 FP1 102 -10.518
89 FP1 103 -10.030
89 FP1 104 -8.565
89 FP1 105 -7.100
89 FP1 106 -6.124
89 FP1 107 -5.147
89 FP1 108 -4.659
89 FP1 109 -4.171
89 FP1 110 -3.682
89 FP1 111 -5.636
89 FP1 112 -8.077
89 FP1 113 -10.518
89 FP1 114 -11.983
89 FP1 115 -10.518
89 FP1 116 -8.565
89 FP1 117 -5.636
89 FP1 118 -3.194
89 FP1 119 -2.218
89 FP1 120 -1.729
89 FP1 121 -1.729
89 FP1 122 -0.753
89 FP1 123 -0.264
89 FP1 124 0.224
89 FP1 125 0.224
89 FP1 126 -0.753
89 FP1 127 -1.241
89 FP1 128 -1.241
89 FP1 129 -0.264
89 FP1 130 0.224
89 FP1 131 0.712
89 FP1 132 0.224
89 FP1 133 -0.264
89 FP1 134 -0.753
89 FP1 135 -0.753
89 FP1 136 -0.753
89 FP1 137 -1.241
89 FP1 138 -2.706
89 FP1 139 -5.147
89 FP1 140 -6.612
89 FP1 141 -7.589
89 FP1 142 -7.100
89 FP1 143 -6.124
89 FP1 144 -6.124
89 FP1 145 -6.124
89 FP1 146 -6.124
89 FP1 147 -6.124
89 FP1 148 -5.636
89 FP1 149 -6.124
89 FP1 150 -7.100
89 FP1 151 -8.565
89 FP1 152 -10.518
89 FP1 153 -11.983
89 FP1 154 -11.983
89 FP1 155 -11.007
89 FP1 156 -8.565
89 FP1 157 -6.612
89 FP1 158 -5.147
89 FP1 159 -5.636
89 FP1 160 -7.589
