# co2c0000345.rd
# 120 trials, 64 chans, 416 samples 368 post_stim samples
# 3.906000 msecs uV
# S2 nomatch, trial 39
# FP1 chan 0
39 FP1 0 4.028
39 FP1 1 5.005
39 FP1 2 6.958
39 FP1 3 10.864
39 FP1 4 14.282
39 FP1 5 17.212
39 FP1 6 18.677
39 FP1 7 18.188
39 FP1 8 18.188
39 FP1 9 17.700
39 FP1 10 17.700
39 FP1 11 17.700
39 FP1 12 16.235
39 FP1 13 14.282
39 FP1 14 11.841
39 FP1 15 9.399
39 FP1 16 7.446
39 FP1 17 5.005
39 FP1 18 2.563
39 FP1 19 -0.366
39 FP1 20 -2.319
39 FP1 21 -3.784
39 FP1 22 -3.296
39 FP1 23 -1.831
39 FP1 24 -0.366
39 FP1 25 1.099
39 FP1 26 2.075
39 FP1 27 2.563
39 FP1 28 3.540
39 FP1 29 5.005
39 FP1 30 7.446
39 FP1 31 10.376
39 FP1 32 11.841
39 FP1 33 12.329
39 FP1 34 12.329
39 FP1 35 12.329
39 FP1 36 13.794
39 FP1 37 15.259
39 FP1 38 16.724
39 FP1 39 16.235
39 FP1 40 13.794
39 FP1 41 10.376
39 FP1 42 6.470
39 FP1 43 2.075
39 FP1 44 -1.831
39 FP1 45 -5.737
39 FP1 46 -8.667
39 FP1 47 -11.108
39 FP1 48 -12.085
39 FP1 49 -11.597
39 FP1 50 -10.132
39 FP1 51 -7.690
39 FP1 52 -4.761
39 FP1 53 -2.319
39 FP1 54 -0.366
39 FP1 55 1.099
39 FP1 56 3.052
39 FP1 57 5.005
39 FP1 58 7.446
39 FP1 59 9.888
39 FP1 60 10.864
39 FP1 61 12.329
39 FP1 62 12.817
39 FP1 63 14.282
39 FP1 64 15.259
39 FP1 65 16.235
39 FP1 66 15.259
39 FP1 67 12.817
39 FP1 68 9.399
39 FP1 69 5.005
39 FP1 70 0.122
39 FP1 71 -4.761
39 FP1 72 -9.644
39 FP1 73 -13.062
39 FP1 74 -15.503
39 FP1 75 -17.944
39 FP1 76 -19.409
39 FP1 77 -22.339
39 FP1 78 -24.780
39 FP1 79 -26.245
39 FP1 80 -25.757
39 FP1 81 -24.780
39 FP1 82 -23.804
39 FP1 83 -23.315
39 FP1 84 -22.827
39 FP1 85 -21.851
39 FP1 86 -20.386
39 FP1 87 -18.433
39 FP1 88 -16.968
39 FP1 89 -16.968
39 FP1 90 -19.409
